date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:11:07	25617/25617	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/default/img-10.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/default/img-10.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:08	49324/49324	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/rtl/destination-single.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/destination-single.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:11	38889/38889	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-2.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-2.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:12	29965/29965	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/rtl/booking-hotel-single.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/booking-hotel-single.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:12	58491/58491	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-1.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-1.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:13	38115/38115	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-3.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-3.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:13	29011/29011	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/rtl/booking-hotel-payment.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/booking-hotel-payment.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:14	36199/36199	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-4.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-4.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:15	29525/29525	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/rtl/booking-hotel-confirmation.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/booking-hotel-confirmation.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:17	58654/58654	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/rtl/profile-hotel-availability.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/profile-hotel-availability.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:17	34544/34544	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-5.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-5.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:18	43573/43573	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Feb%202020%2018:02:07%20GMT	http://tazkarty.itgeeks.info/rtl/car-single.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/car-single.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:20	41160/41160	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-6.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-6.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:21	43859/43859	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Feb%202020%2018:02:07%20GMT	http://tazkarty.itgeeks.info/rtl/car-booking-confirmation.html	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/rtl/car-booking-confirmation.html	(from http://tazkarty.itgeeks.info/index.html)
09:11:24	32879/32879	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Feb%202020%2018:02:07%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-12.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-12.jpg	(from http://tazkarty.itgeeks.info/index.html)
09:11:25	60280/60280	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Feb%202020%2010:43:59%20GMT	http://tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-7.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/preview/images/thumbnails/rtl/img-7.jpg	(from http://tazkarty.itgeeks.info/index.html)
